team_name,task_name,track_id,submission_id,train+test_1,train,test_1,test_2,test_var,test,train+test
Silver-Bullet-3D,OpenCabinetDrawer,2,61aa46fe1c8ab46409a28d87,0.996,0.992,1.0,1.0,0.0,1.0,0.996
aidan-curtis,OpenCabinetDrawer,2,61d53b391c8ab45494a28dfa,0.972,0.968,0.976,0,0.976,0.488,0.728
Silver-Bullet-3D,MoveBucket,2,61bc81cc1c8ab4d51fa28db6,0.96,0.952,0.968,0.92,0.04799999999999993,0.944,0.948
Silver-Bullet-3D,PushChair,2,61e19d241c8ab407a9a28e37,0.928,0.896,0.96,0.92,0.039999999999999925,0.94,0.9179999999999999
EPIC Lab,OpenCabinetDrawer,1,61a1b54f1c8ab4c4cca28d50,0.884,0.92,0.848,1.0,0.15200000000000002,0.9239999999999999,0.9219999999999999
Silver-Bullet-3D,OpenCabinetDoor,2,61e197f21c8ab4351ba28e35,0.88,0.952,0.808,0.68,0.128,0.744,0.848
EPIC Lab,OpenCabinetDoor,1,61a1a5c01c8ab470dfa28d4f,0.86,0.944,0.776,0.616,0.16000000000000003,0.696,0.82
EPIC Lab,MoveBucket,1,61aaff721c8ab4ec64a28d8d,0.812,0.752,0.872,0.632,0.24,0.752,0.752
aidan-curtis,PushChair,2,61d4a60a1c8ab4b4c1a28dec,0.792,0.76,0.824,0.632,0.19199999999999995,0.728,0.744
aidan-curtis,MoveBucket,2,61e211201c8ab430e2a28e39,0.756,0.816,0.696,0,0.696,0.348,0.582
Silver-Bullet-3D,OpenCabinetDrawer,0,61e187961c8ab4f8dfa28e2f,0.684,0.968,0.4,0.712,0.31199999999999994,0.556,0.762
Silver-Bullet-3D,OpenCabinetDrawer,1,61cf666a1c8ab45248a28ddd,0.66,0.968,0.352,0.688,0.33599999999999997,0.52,0.744
MI,OpenCabinetDrawer,1,61d97cbd1c8ab48560a28e12,0.648,0.832,0.464,0.24,0.22400000000000003,0.352,0.592
Silver-Bullet-3D,MoveBucket,0,61cf59181c8ab4736aa28dd7,0.636,0.744,0.528,0.448,0.08000000000000002,0.488,0.616
Silver-Bullet-3D,OpenCabinetDoor,1,61aa27a41c8ab4c8fea28d80,0.568,0.944,0.192,0.272,0.08000000000000002,0.232,0.588
